condition,session,b1,b2,r1,r2,schedule_r1,schedule_r2,PID
1,1,90,381,1,4,1,9,P06
1,2,135,756,1,5,1,9,P06
1,3,85,819,1,8,1,9,P06
1,4,107,327,1,10,1,9,P06
1,5,53,399,1,4,1,9,P06
1,6,50,488,1,12,1,9,P06
1,7,129,488,1,8,1,9,P06
1,8,92,478,1,7,1,9,P06
1,9,147,725,1,5,1,9,P06
1,10,142,491,1,9,1,9,P06
1,11,125,499,1,7,1,9,P06
1,12,227,316,1,3,1,9,P06
1,13,103,847,1,10,1,9,P06
1,14,113,494,1,2,1,9,P06
1,15,334,645,1,6,1,9,P06
1,16,132,497,1,7,1,9,P06
1,17,80,477,1,9,1,9,P06
1,18,84,333,1,16,1,9,P06
1,19,114,639,1,5,1,9,P06
1,20,194,649,1,7,1,9,P06
1,21,113,632,1,8,1,9,P06
1,22,80,508,1,4,1,9,P06
1,23,152,721,1,7,1,9,P06
1,24,311,604,2,9,1,9,P06
1,25,78,574,1,5,1,9,P06
1,26,120,772,1,9,1,9,P06
1,27,133,328,1,4,1,9,P06
1,28,245,718,1,8,1,9,P06
1,29,39,595,1,9,1,9,P06
1,30,217,399,1,5,1,9,P06
1,31,244,611,1,7,1,9,P06
1,32,38,510,1,5,1,9,P06
1,33,219,510,1,4,1,9,P06
1,34,122,779,1,6,1,9,P06
1,35,99,419,1,7,1,9,P06
1,36,204,580,1,9,1,9,P06
1,37,103,784,1,10,1,9,P06
1,38,93,535,1,12,1,9,P06
1,39,85,383,1,3,1,9,P06
1,40,211,708,1,8,1,9,P06
1,41,259,486,1,5,1,9,P06
1,42,357,615,1,8,1,9,P06
1,43,217,690,1,3,1,9,P06
1,44,129,501,1,10,1,9,P06
1,45,188,654,1,3,1,9,P06
1,46,123,626,1,9,1,9,P06
1,47,116,724,1,10,1,9,P06
1,48,54,355,1,3,1,9,P06
1,49,138,680,1,7,1,9,P06
1,50,80,548,1,12,1,9,P06
1,51,93,410,1,8,1,9,P06
1,52,106,582,1,8,1,9,P06
1,53,207,603,1,8,1,9,P06
1,54,79,676,1,5,1,9,P06
1,55,118,701,1,5,1,9,P06
1,56,99,544,1,6,1,9,P06
1,57,43,533,1,9,1,9,P06
1,58,138,696,1,4,1,9,P06
1,59,156,745,1,8,1,9,P06
1,60,190,387,1,13,1,9,P06
1,61,68,661,1,9,1,9,P06
