condition,session,b1,b2,r1,r2,schedule_r1,schedule_r2,PID
1,1,224,247,1,4,1,9,P02
1,2,263,628,1,5,1,9,P02
1,3,56,848,1,8,1,9,P02
1,4,337,97,1,2,1,9,P02
1,5,434,427,1,4,1,9,P02
1,6,293,599,1,3,1,9,P02
1,7,319,369,1,5,1,9,P02
1,8,471,390,1,1,1,9,P02
1,9,186,788,1,10,1,9,P02
1,10,367,588,1,5,1,9,P02
1,11,72,738,1,11,1,9,P02
1,12,55,457,1,8,1,9,P02
1,13,225,318,1,3,1,9,P02
1,14,172,374,1,8,1,9,P02
1,15,242,461,1,14,1,9,P02
1,16,207,355,1,7,1,9,P02
1,17,79,550,1,7,1,9,P02
1,18,115,796,1,8,1,9,P02
1,19,78,339,1,17,1,9,P02
1,20,286,256,1,2,1,9,P02
1,21,330,374,1,4,1,9,P02
1,22,39,710,1,5,1,9,P02
1,23,143,769,1,8,1,9,P02
1,24,371,114,1,1,1,9,P02
1,25,264,353,1,4,1,9,P02
1,26,407,317,1,6,1,9,P02
1,27,428,527,1,3,1,9,P02
1,28,305,209,1,5,1,9,P02
1,29,29,560,1,8,1,9,P02
1,30,71,773,1,10,1,9,P02
1,31,24,610,1,12,1,9,P02
1,32,547,179,1,1,1,9,P02
1,33,349,581,1,2,1,9,P02
1,34,292,108,1,1,1,9,P02
1,35,28,927,1,6,1,9,P02
1,36,398,234,2,4,1,9,P02
1,37,155,592,1,4,1,9,P02
1,38,123,737,1,7,1,9,P02
1,39,417,221,1,5,1,9,P02
1,40,185,690,1,7,1,9,P02
1,41,258,447,1,2,1,9,P02
1,42,392,82,1,1,1,9,P02
1,43,59,648,1,8,1,9,P02
1,44,32,817,1,4,1,9,P02
1,45,46,548,1,6,1,9,P02
1,46,345,400,1,4,1,9,P02
1,47,104,321,1,8,1,9,P02
1,48,39,363,1,4,1,9,P02
1,49,49,476,1,9,1,9,P02
1,50,99,582,1,4,1,9,P02
1,51,498,251,1,3,1,9,P02
1,52,281,586,1,7,1,9,P02
1,53,143,788,1,5,1,9,P02
1,54,25,635,1,14,1,9,P02
1,55,228,520,1,7,1,9,P02
1,56,161,533,1,5,1,9,P02
1,57,24,766,1,12,1,9,P02
1,58,392,166,1,4,1,9,P02
1,59,313,155,1,3,1,9,P02
1,60,726,133,1,2,1,9,P02
1,61,109,472,1,7,1,9,P02
1,62,186,750,1,4,1,9,P02
1,63,132,736,1,9,1,9,P02
1,64,407,297,1,5,1,9,P02
1,65,193,664,1,14,1,9,P02
1,66,157,572,1,8,1,9,P02
1,67,313,312,2,6,1,9,P02
1,68,55,625,1,6,1,9,P02
1,69,32,520,1,12,1,9,P02
1,70,351,419,1,8,1,9,P02
1,71,129,635,1,7,1,9,P02
1,72,188,383,2,12,1,9,P02
1,73,114,301,1,10,1,9,P02
1,74,132,540,1,13,1,9,P02
1,75,193,347,1,1,1,9,P02
1,76,216,501,2,5,1,9,P02
1,77,79,752,1,11,1,9,P02
1,78,104,866,1,4,1,9,P02
1,79,231,267,1,7,1,9,P02
1,80,507,249,1,5,1,9,P02
1,81,57,380,1,5,1,9,P02
1,82,238,479,1,14,1,9,P02
1,83,119,362,1,10,1,9,P02
1,84,124,847,1,7,1,9,P02
1,85,714,145,1,3,1,9,P02
1,86,133,551,1,8,1,9,P02
1,87,393,459,1,1,1,9,P02
1,88,250,420,1,2,1,9,P02
1,89,589,197,2,1,1,9,P02
1,90,15,657,1,9,1,9,P02
1,91,68,497,1,6,1,9,P02
1,92,554,155,1,2,1,9,P02
1,93,114,388,1,6,1,9,P02
1,94,229,529,2,8,1,9,P02
1,95,112,374,1,6,1,9,P02
1,96,65,686,1,12,1,9,P02
1,97,208,769,1,9,1,9,P02
1,98,339,586,1,6,1,9,P02
1,99,207,355,1,4,1,9,P02
1,100,187,469,1,10,1,9,P02
1,101,88,312,1,5,1,9,P02
1,102,165,540,1,5,1,9,P02
1,103,223,517,1,10,1,9,P02
1,104,128,272,1,5,1,9,P02
1,105,574,414,1,7,1,9,P02
1,106,116,348,1,5,1,9,P02
1,107,352,132,1,3,1,9,P02
1,108,432,310,2,3,1,9,P02
1,109,289,674,1,9,1,9,P02
1,110,94,750,1,9,1,9,P02
1,111,47,504,1,8,1,9,P02
1,112,382,125,1,1,1,9,P02
1,113,603,319,1,3,1,9,P02
1,114,430,136,1,5,1,9,P02
1,115,472,280,1,2,1,9,P02
1,116,431,128,1,1,1,9,P02
1,117,454,416,1,4,1,9,P02
1,118,367,87,3,1,1,9,P02
1,119,334,149,1,3,1,9,P02
1,120,178,335,1,8,1,9,P02
1,121,23,615,1,8,1,9,P02
1,122,595,270,1,2,1,9,P02
1,123,190,326,1,3,1,9,P02
1,124,267,675,1,5,1,9,P02
1,125,145,507,1,4,1,9,P02
1,126,496,163,1,1,1,9,P02
1,127,491,393,1,5,1,9,P02
1,128,429,544,1,4,1,9,P02
1,129,87,620,1,9,1,9,P02
1,130,207,585,1,8,1,9,P02
1,131,214,652,1,3,1,9,P02
1,132,468,339,1,7,1,9,P02
1,133,462,257,1,5,1,9,P02
1,134,323,666,1,4,1,9,P02
1,135,349,338,1,5,1,9,P02
1,136,156,415,1,12,1,9,P02
1,137,323,542,1,7,1,9,P02
1,138,128,294,1,6,1,9,P02
1,139,357,108,1,1,1,9,P02
1,140,178,235,1,4,1,9,P02
1,141,260,341,1,5,1,9,P02
1,142,69,492,1,8,1,9,P02
1,143,117,758,1,7,1,9,P02
1,144,338,315,2,5,1,9,P02
1,145,246,448,1,6,1,9,P02
1,146,295,446,1,5,1,9,P02
1,147,15,454,1,11,1,9,P02
1,148,397,373,1,2,1,9,P02
1,149,521,471,1,6,1,9,P02
1,150,168,745,1,10,1,9,P02
1,151,204,409,1,7,1,9,P02
1,152,306,190,1,2,1,9,P02
1,153,74,911,1,8,1,9,P02
1,154,177,481,1,5,1,9,P02
1,155,144,830,1,7,1,9,P02
1,156,408,218,1,4,1,9,P02
1,157,285,702,1,4,1,9,P02
1,158,22,691,1,8,1,9,P02
1,159,247,343,1,5,1,9,P02
1,160,117,833,1,1,1,9,P02
1,161,203,746,1,5,1,9,P02
1,162,69,756,1,4,1,9,P02
1,163,45,688,1,8,1,9,P02
1,164,431,544,1,4,1,9,P02
1,165,200,787,1,7,1,9,P02
1,166,177,298,1,5,1,9,P02
1,167,141,638,1,9,1,9,P02
1,168,224,493,1,6,1,9,P02
1,169,124,402,1,8,1,9,P02
1,170,225,517,1,8,1,9,P02
1,171,113,488,1,9,1,9,P02
1,172,484,183,1,1,1,9,P02
1,173,451,242,1,4,1,9,P02
1,174,86,508,1,7,1,9,P02
1,175,148,453,1,8,1,9,P02
1,176,396,347,1,1,1,9,P02
1,177,43,481,1,11,1,9,P02
1,178,97,371,1,6,1,9,P02
1,179,42,496,1,11,1,9,P02
1,180,127,789,1,12,1,9,P02
1,181,260,367,1,10,1,9,P02
1,182,140,375,1,3,1,9,P02
1,183,439,309,1,8,1,9,P02
1,184,455,432,2,7,1,9,P02
1,185,102,557,1,7,1,9,P02
1,186,166,395,1,7,1,9,P02
1,187,51,785,1,11,1,9,P02
1,188,129,300,1,4,1,9,P02
1,189,61,492,1,11,1,9,P02
1,190,633,334,1,2,1,9,P02
1,191,247,253,2,3,1,9,P02
1,192,149,752,1,5,1,9,P02
1,193,617,310,1,2,1,9,P02
1,194,141,532,1,6,1,9,P02
1,195,203,298,1,5,1,9,P02
1,196,159,649,1,6,1,9,P02
1,197,271,262,1,7,1,9,P02
1,198,400,456,1,3,1,9,P02
1,199,331,480,1,7,1,9,P02
1,200,305,586,1,9,1,9,P02
1,201,51,353,1,12,1,9,P02
1,202,154,338,1,5,1,9,P02
1,203,265,580,1,9,1,9,P02
1,204,563,83,1,1,1,9,P02
1,205,718,281,1,2,1,9,P02
1,206,180,541,1,3,1,9,P02
1,207,773,30,3,1,1,9,P02
1,208,36,445,1,5,1,9,P02
1,209,237,418,1,10,1,9,P02
1,210,240,712,1,7,1,9,P02
1,211,238,165,1,2,1,9,P02
1,212,304,276,1,3,1,9,P02
1,213,71,712,1,14,1,9,P02
1,214,102,868,1,9,1,9,P02
1,215,265,215,1,7,1,9,P02
1,216,582,399,2,4,1,9,P02
1,217,229,213,2,5,1,9,P02
1,218,481,371,1,3,1,9,P02
1,219,42,379,1,5,1,9,P02
1,220,112,852,1,8,1,9,P02
1,221,161,527,1,6,1,9,P02
1,222,71,345,1,5,1,9,P02
1,223,776,209,1,1,1,9,P02
1,224,189,358,1,3,1,9,P02
1,225,462,263,1,2,1,9,P02
1,226,432,282,1,1,1,9,P02
1,227,33,449,1,7,1,9,P02
1,228,177,265,1,3,1,9,P02
1,229,107,591,1,13,1,9,P02
1,230,152,737,1,11,1,9,P02
1,231,188,274,1,3,1,9,P02
1,232,107,421,1,3,1,9,P02
1,233,295,407,1,5,1,9,P02
1,234,71,481,1,7,1,9,P02
1,235,133,527,1,5,1,9,P02
1,236,509,340,1,5,1,9,P02
1,237,577,362,1,5,1,9,P02
1,238,697,183,1,3,1,9,P02
1,239,72,572,1,7,1,9,P02
1,240,177,393,1,3,1,9,P02
1,241,356,548,1,6,1,9,P02
1,242,352,104,1,2,1,9,P02
1,243,179,777,1,7,1,9,P02
1,244,253,402,1,7,1,9,P02
1,245,387,553,1,4,1,9,P02
