condition,session,b1,b2,r1,r2,schedule_r1,schedule_r2,PID
1,1,47,424,1,7,1,9,P10
1,2,45,631,1,6,1,9,P10
1,3,26,394,1,5,1,9,P10
1,4,65,540,1,6,1,9,P10
1,5,85,770,1,7,1,9,P10
1,6,76,667,1,12,1,9,P10
1,7,25,836,1,5,1,9,P10
1,8,75,565,1,5,1,9,P10
1,9,128,827,1,5,1,9,P10
1,10,67,691,1,7,1,9,P10
1,11,36,750,1,6,1,9,P10
1,12,29,617,1,9,1,9,P10
1,13,51,694,1,7,1,9,P10
1,14,39,623,1,12,1,9,P10
1,15,42,518,1,13,1,9,P10
1,16,23,857,1,8,1,9,P10
1,17,39,459,1,8,1,9,P10
1,18,115,774,1,13,1,9,P10
1,19,43,546,1,6,1,9,P10
1,20,19,483,1,10,1,9,P10
1,21,104,808,1,8,1,9,P10
1,22,63,422,1,6,1,9,P10
1,23,69,852,1,13,1,9,P10
1,24,19,648,1,4,1,9,P10
1,25,73,744,1,10,1,9,P10
1,26,29,560,1,8,1,9,P10
1,27,61,902,1,8,1,9,P10
1,28,100,534,1,10,1,9,P10
1,29,35,531,1,5,1,9,P10
1,30,148,441,1,9,1,9,P10
1,31,35,597,1,8,1,9,P10
1,32,55,660,2,13,1,9,P10
1,33,47,498,1,12,1,9,P10
1,34,44,812,1,11,1,9,P10
1,35,45,561,1,13,1,9,P10
1,36,84,499,1,9,1,9,P10
1,37,31,461,1,6,1,9,P10
1,38,182,563,1,5,1,9,P10
1,39,42,413,1,6,1,9,P10
1,40,28,386,1,8,1,9,P10
1,41,160,273,1,6,1,9,P10
1,42,30,658,1,6,1,9,P10
1,43,115,788,1,10,1,9,P10
1,44,32,377,1,2,1,9,P10
1,45,140,354,1,7,1,9,P10
1,46,24,645,1,13,1,9,P10
1,47,44,394,1,9,1,9,P10
1,48,11,642,1,11,1,9,P10
1,49,89,379,1,5,1,9,P10
1,50,185,570,1,3,1,9,P10
1,51,41,778,1,6,1,9,P10
1,52,39,604,1,8,1,9,P10
1,53,207,661,1,7,1,9,P10
1,54,72,359,1,9,1,9,P10
1,55,27,534,1,5,1,9,P10
1,56,40,687,1,9,1,9,P10
1,57,80,649,1,9,1,9,P10
1,58,37,618,1,7,1,9,P10
1,59,159,441,1,2,1,9,P10
1,60,57,470,1,5,1,9,P10
1,61,176,624,1,3,1,9,P10
1,62,159,611,1,9,1,9,P10
1,63,89,817,1,6,1,9,P10
1,64,26,871,1,8,1,9,P10
1,65,132,752,1,8,1,9,P10
1,66,46,490,1,11,1,9,P10
1,67,19,907,1,8,1,9,P10
1,68,27,646,1,13,1,9,P10
1,69,13,532,1,8,1,9,P10
1,70,36,682,1,9,1,9,P10
1,71,35,881,1,10,1,9,P10
1,72,46,933,1,10,1,9,P10
1,73,56,380,1,17,1,9,P10
1,74,28,793,1,6,1,9,P10
1,75,148,546,1,3,1,9,P10
1,76,75,650,1,11,1,9,P10
