condition,session,b1,b2,r1,r2,schedule_r1,schedule_r2,PID
1,1,38,433,1,7,1,9,P09
1,2,39,674,1,7,1,9,P09
1,3,28,645,1,6,1,9,P09
1,4,34,446,1,11,1,9,P09
1,5,16,436,1,4,1,9,P09
1,6,12,859,1,14,1,9,P09
1,7,45,572,1,8,1,9,P09
1,8,28,542,1,9,1,9,P09
1,9,31,593,1,8,1,9,P09
1,10,22,610,1,9,1,9,P09
1,11,49,403,1,9,1,9,P09
1,12,23,779,1,11,1,9,P09
1,13,19,634,1,12,1,9,P09
1,14,55,817,1,12,1,9,P09
1,15,16,613,1,8,1,9,P09
1,16,30,881,1,10,1,9,P09
1,17,32,937,1,8,1,9,P09
1,18,42,882,1,5,1,9,P09
1,19,34,940,1,7,1,9,P09
1,20,84,418,1,9,1,9,P09
1,21,78,834,1,9,1,9,P09
1,22,65,619,1,8,1,9,P09
1,23,68,554,1,16,1,9,P09
1,24,93,703,1,11,1,9,P09
1,25,67,789,1,11,1,9,P09
1,26,26,550,1,8,1,9,P09
1,27,20,565,1,7,1,9,P09
1,28,42,531,1,10,1,9,P09
1,29,10,428,1,12,1,9,P09
1,30,75,537,1,6,1,9,P09
1,31,56,901,1,10,1,9,P09
1,32,70,392,1,2,1,9,P09
1,33,33,389,1,9,1,9,P09
1,34,105,544,1,6,1,9,P09
1,35,42,432,1,12,1,9,P09
1,36,107,693,1,6,1,9,P09
1,37,50,630,1,4,1,9,P09
1,38,20,612,1,7,1,9,P09
1,39,29,426,1,8,1,9,P09
1,40,57,848,1,8,1,9,P09
1,41,54,456,1,6,1,9,P09
1,42,24,957,1,6,1,9,P09
1,43,41,476,1,9,1,9,P09
1,44,23,377,1,6,1,9,P09
1,45,65,653,1,8,1,9,P09
1,46,27,692,1,10,1,9,P09
1,47,20,954,1,12,1,9,P09
1,48,40,779,1,10,1,9,P09
1,49,61,407,1,7,1,9,P09
1,50,125,598,1,4,1,9,P09
1,51,33,786,1,6,1,9,P09
1,52,29,614,1,7,1,9,P09
1,53,13,563,1,10,1,9,P09
1,54,46,782,1,9,1,9,P09
1,55,33,746,1,12,1,9,P09
1,56,55,422,1,8,1,9,P09
1,57,69,716,1,11,1,9,P09
1,58,41,567,1,7,1,9,P09
1,59,13,539,1,6,1,9,P09
1,60,68,732,1,5,1,9,P09
1,61,15,497,1,11,1,9,P09
1,62,20,533,1,6,1,9,P09
1,63,60,669,1,10,1,9,P09
1,64,32,768,1,11,1,9,P09
1,65,18,479,1,13,1,9,P09
1,66,63,610,1,11,1,9,P09
1,67,12,533,1,8,1,9,P09
1,68,33,685,1,9,1,9,P09
1,69,30,886,1,10,1,9,P09
1,70,39,940,1,10,1,9,P09
1,71,39,397,1,18,1,9,P09
1,72,18,388,1,5,1,9,P09
1,73,96,598,1,3,1,9,P09
1,74,57,668,1,11,1,9,P09
1,75,25,755,1,3,1,9,P09
1,76,127,702,1,10,1,9,P09
1,77,67,785,1,12,1,9,P09
1,78,75,882,1,8,1,9,P09
1,79,143,622,1,8,1,9,P09
1,80,19,466,1,10,1,9,P09
1,81,72,755,1,8,1,9,P09
1,82,52,730,1,7,1,9,P09
1,83,22,665,1,8,1,9,P09
1,84,27,704,1,11,1,9,P09
1,85,52,533,1,10,1,9,P09
1,86,51,478,1,6,1,9,P09
1,87,60,931,1,6,1,9,P09
1,88,32,532,1,7,1,9,P09
1,89,40,557,1,8,1,9,P09
1,90,35,859,1,6,1,9,P09
1,91,43,873,1,14,1,9,P09
1,92,37,451,1,6,1,9,P09
