participant_id,k,s,Amount,Commodity
1,1.0340993052220953,0.08353732665719206,100,Money
2,1.4276857178787747,0.09941102546237728,100,Money
3,2.254463712222554,0.09125052771414191,100,Money
4,1.8075733524342146,0.08903794442602012,100,Money
5,1.933204691939897,0.09373320052905844,100,Money
6,1.5706015323721367,0.09150693044633806,100,Money
7,2.5886767702507862,0.09543669965528152,100,Money
8,2.7860859367150623,0.09194168246068748,100,Money
9,2.4124668693008897,0.0842004642179173,100,Money
10,2.2934035896749148,0.08187317303998241,100,Money
11,1.0044304139753744,0.08014466455611062,100,Money
12,2.5456226046803585,0.095644699018478,100,Money
13,2.3417970038407336,0.0977823773184802,100,Money
14,2.6964311332797126,0.09853729602522916,100,Money
15,2.1048216108530937,0.08226069771953202,100,Money
16,2.0864464891655023,0.09615845667942616,100,Money
17,2.896000368448515,0.08293005406367862,100,Money
18,2.4939121616247695,0.09741404363586575,100,Money
19,2.55244110302006,0.094803969185241,100,Money
20,1.0915961747472094,0.08172428512939901,100,Money
21,1.7144086475995177,0.08506075088528396,100,Money
22,2.247929357399967,0.09947638609083233,100,Money
23,1.6503922565319313,0.08773391507009153,100,Money
24,2.041343034020665,0.09709681253075211,100,Money
25,2.965923030963394,0.09888273290833852,100,Money
26,1.4243332877956627,0.08959845617087603,100,Money
27,1.091465727351075,0.08188258221452024,100,Money
28,1.4109848606852382,0.09229200684727706,100,Money
29,2.2355616489464722,0.0999517186086033,100,Money
30,2.222850239605264,0.08811268738944007,100,Money
31,1.1529680342212316,0.08305351219174893,100,Money
32,1.8528635607627093,0.08253030519042626,100,Money
33,1.7012967246257464,0.09685653857246905,100,Money
34,2.847732222250075,0.09526555938063638,100,Money
35,2.7146201680911313,0.09584929684202242,100,Money
36,2.8271387170147215,0.09172832503778543,100,Money
37,1.725024473311369,0.09735760969850224,100,Money
38,1.84805689978758,0.088844474012244,100,Money
39,1.4292698360887384,0.08801187525274806,100,Money
40,2.070397914543032,0.08715213495955437,100,Money
41,2.7462203781142787,0.09948522763200432,100,Money
42,2.9348145124869776,0.09506009984361571,100,Money
43,1.71600376183868,0.0881829293043925,100,Money
44,1.7619330777320146,0.09961493666889215,100,Money
45,1.569515432879147,0.0853295669240955,100,Money
46,2.205428610579782,0.09554211105088248,100,Money
47,1.8448145663393698,0.09491534140566157,100,Money
48,1.5304219477783532,0.08053004981073102,100,Money
49,2.4063247032075443,0.09832852533873661,100,Money
50,1.1276747629529524,0.08332289106224892,100,Money
51,1.7762827474015752,0.09877119188508605,100,Money
52,1.9950086624190426,0.08932951159591077,100,Money
53,2.6823735818300056,0.09610879783843763,100,Money
54,2.654417119989291,0.08419495721155615,100,Money
55,1.525761195641238,0.09055506597328755,100,Money
56,2.4940841743316815,0.08871899353512787,100,Money
57,1.2215832244155391,0.08323788857333343,100,Money
58,2.0758086576706902,0.08236032593170735,100,Money
59,1.9403487700754587,0.0981368222093485,100,Money
60,2.5093704103484464,0.08414544264627938,100,Money
61,1.4104218120554348,0.08283276999549138,100,Money
62,2.566457732922946,0.08103533846576509,100,Money
63,1.901732115298288,0.09534183576970935,100,Money
64,1.6312382191918608,0.08000353108318772,100,Money
65,2.648034703707932,0.08235305530777809,100,Money
66,2.238393880839328,0.08466144260591203,100,Money
