condition,session,b1,b2,r1,r2,schedule_r1,schedule_r2,PID
1,1,117,354,1,4,1,9,P01
1,2,122,769,1,5,1,9,P01
1,3,28,876,1,8,1,9,P01
1,4,229,205,1,9,1,9,P01
1,5,29,423,1,3,1,9,P01
1,6,22,721,1,10,1,9,P01
1,7,516,430,1,5,1,9,P01
1,8,50,924,1,9,1,9,P01
1,9,298,449,1,1,1,9,P01
1,10,107,651,1,6,1,9,P01
1,11,146,763,1,7,1,9,P01
1,12,109,537,1,7,1,9,P01
1,13,457,288,1,4,1,9,P01
1,14,216,334,1,8,1,9,P01
1,15,230,300,3,7,1,9,P01
1,16,29,531,1,13,1,9,P01
1,17,459,393,1,3,1,9,P01
1,18,330,442,1,4,1,9,P01
1,19,146,819,1,18,1,9,P01
1,20,14,739,1,5,1,9,P01
1,21,29,423,1,8,1,9,P01
1,22,61,396,1,8,1,9,P01
1,23,337,138,1,1,1,9,P01
1,24,228,265,1,5,1,9,P01
1,25,133,591,1,10,1,9,P01
1,26,77,624,1,5,1,9,P01
1,27,127,347,1,12,1,9,P01
1,28,46,415,1,9,1,9,P01
1,29,24,526,1,16,1,9,P01
1,30,129,435,1,9,1,9,P01
1,31,17,440,1,11,1,9,P01
1,32,51,428,1,11,1,9,P01
1,33,49,666,2,13,1,9,P01
1,34,71,702,1,15,1,9,P01
1,35,37,808,1,8,1,9,P01
1,36,109,593,1,12,1,9,P01
1,37,399,184,1,2,1,9,P01
1,38,113,469,1,10,1,9,P01
1,39,175,748,1,7,1,9,P01
1,40,66,590,1,7,1,9,P01
1,41,340,567,1,3,1,9,P01
1,42,168,462,1,10,1,9,P01
1,43,276,566,1,3,1,9,P01
1,44,102,647,1,10,1,9,P01
1,45,177,416,1,6,1,9,P01
1,46,43,676,1,8,1,9,P01
1,47,131,687,1,7,1,9,P01
1,48,41,587,1,13,1,9,P01
1,49,53,385,1,9,1,9,P01
1,50,233,420,1,6,1,9,P01
1,51,28,501,1,11,1,9,P01
1,52,679,76,1,1,1,9,P01
1,53,94,725,1,6,1,9,P01
1,54,77,566,1,6,1,9,P01
1,55,77,478,1,9,1,9,P01
1,56,228,476,1,5,1,9,P01
1,57,31,423,1,5,1,9,P01
1,58,87,320,1,4,1,9,P01
1,59,36,459,1,10,1,9,P01
1,60,228,456,1,6,1,9,P01
1,61,27,878,1,9,1,9,P01
1,62,74,560,1,9,1,9,P01
1,63,65,502,1,9,1,9,P01
1,64,36,512,1,10,1,9,P01
1,65,237,663,1,4,1,9,P01
1,66,33,538,1,15,1,9,P01
1,67,102,698,1,11,1,9,P01
1,68,116,381,1,12,1,9,P01
1,69,56,372,1,10,1,9,P01
1,70,24,521,1,8,1,9,P01
1,71,313,430,1,7,1,9,P01
1,72,136,769,1,11,1,9,P01
1,73,510,156,1,6,1,9,P01
1,74,171,266,1,3,1,9,P01
1,75,127,590,1,15,1,9,P01
1,76,392,433,1,3,1,9,P01
1,77,252,380,1,7,1,9,P01
1,78,11,425,1,6,1,9,P01
1,79,88,581,1,3,1,9,P01
1,80,163,695,1,7,1,9,P01
1,81,353,428,1,6,1,9,P01
1,82,467,456,1,2,1,9,P01
1,83,84,514,1,8,1,9,P01
1,84,27,489,1,14,1,9,P01
1,85,64,421,1,7,1,9,P01
1,86,96,393,1,4,1,9,P01
1,87,472,245,1,2,1,9,P01
1,88,108,303,1,11,1,9,P01
1,89,190,416,1,5,1,9,P01
1,90,44,605,1,12,1,9,P01
1,91,171,546,1,7,1,9,P01
1,92,97,726,1,8,1,9,P01
1,93,26,577,1,6,1,9,P01
1,94,32,660,1,6,1,9,P01
1,95,240,343,1,3,1,9,P01
1,96,98,309,1,11,1,9,P01
1,97,204,499,1,10,1,9,P01
1,98,44,809,1,11,1,9,P01
1,99,30,454,1,6,1,9,P01
1,100,188,554,1,6,1,9,P01
1,101,23,870,1,8,1,9,P01
1,102,67,371,1,11,1,9,P01
1,103,20,531,1,9,1,9,P01
1,104,314,193,1,1,1,9,P01
1,105,450,472,1,5,1,9,P01
1,106,538,320,1,1,1,9,P01
1,107,47,913,1,6,1,9,P01
1,108,71,682,1,8,1,9,P01
1,109,16,731,1,10,1,9,P01
1,110,96,784,1,11,1,9,P01
1,111,12,816,1,10,1,9,P01
1,112,106,582,1,6,1,9,P01
1,113,95,396,1,6,1,9,P01
1,114,197,547,1,5,1,9,P01
1,115,234,717,1,7,1,9,P01
1,116,86,839,1,10,1,9,P01
1,117,25,682,1,10,1,9,P01
1,118,78,714,1,11,1,9,P01
1,119,95,809,1,11,1,9,P01
1,120,151,798,1,4,1,9,P01
1,121,113,664,1,7,1,9,P01
1,122,112,560,1,7,1,9,P01
1,123,158,474,1,6,1,9,P01
1,124,221,712,1,6,1,9,P01
1,125,156,262,1,8,1,9,P01
1,126,335,537,1,4,1,9,P01
1,127,71,765,1,11,1,9,P01
1,128,194,393,1,6,1,9,P01
1,129,259,328,1,5,1,9,P01
1,130,235,514,1,9,1,9,P01
1,131,247,289,1,6,1,9,P01
1,132,94,607,1,9,1,9,P01
1,133,125,822,1,6,1,9,P01
1,134,57,924,1,7,1,9,P01
1,135,167,658,1,7,1,9,P01
1,136,135,591,1,9,1,9,P01
1,137,116,718,1,5,1,9,P01
1,138,78,389,1,8,1,9,P01
1,139,390,563,1,8,1,9,P01
1,140,87,384,1,9,1,9,P01
1,141,43,722,1,10,1,9,P01
1,142,145,385,1,10,1,9,P01
1,143,344,332,1,7,1,9,P01
1,144,117,554,1,5,1,9,P01
1,145,212,378,1,8,1,9,P01
1,146,98,655,1,6,1,9,P01
1,147,140,685,1,6,1,9,P01
1,148,173,512,1,5,1,9,P01
1,149,32,622,1,8,1,9,P01
1,150,31,813,1,6,1,9,P01
1,151,53,578,1,10,1,9,P01
1,152,70,543,1,5,1,9,P01
1,153,176,525,1,4,1,9,P01
1,154,32,711,1,10,1,9,P01
1,155,189,655,1,2,1,9,P01
1,156,212,511,1,4,1,9,P01
1,157,174,427,1,7,1,9,P01
1,158,114,581,1,8,1,9,P01
1,159,26,403,1,10,1,9,P01
1,160,111,481,1,4,1,9,P01
1,161,313,290,1,5,1,9,P01
1,162,164,598,1,11,1,9,P01
1,163,124,553,1,7,1,9,P01
1,164,287,645,1,9,1,9,P01
1,165,36,647,1,8,1,9,P01
1,166,186,441,1,11,1,9,P01
1,167,162,812,1,7,1,9,P01
1,168,306,370,1,2,1,9,P01
1,169,50,414,1,6,1,9,P01
1,170,242,422,1,3,1,9,P01
1,171,640,332,1,3,1,9,P01
1,172,127,285,1,3,1,9,P01
1,173,386,450,1,8,1,9,P01
1,174,194,617,1,9,1,9,P01
1,175,33,520,1,12,1,9,P01
1,176,136,734,1,3,1,9,P01
1,177,175,676,1,8,1,9,P01
1,178,107,528,1,9,1,9,P01
1,179,131,271,1,5,1,9,P01
1,180,58,395,1,3,1,9,P01
1,181,70,440,1,7,1,9,P01
1,182,20,554,1,6,1,9,P01
1,183,274,432,1,3,1,9,P01
1,184,20,536,1,11,1,9,P01
1,185,47,377,1,9,1,9,P01
1,186,116,879,1,7,1,9,P01
1,187,51,441,1,9,1,9,P01
1,188,71,347,1,8,1,9,P01
1,189,199,627,1,3,1,9,P01
1,190,158,397,1,5,1,9,P01
1,191,503,161,2,2,1,9,P01
1,192,66,350,1,6,1,9,P01
1,193,82,573,1,12,1,9,P01
1,194,183,328,1,6,1,9,P01
1,195,314,375,1,2,1,9,P01
1,196,332,633,1,1,1,9,P01
1,197,182,255,1,5,1,9,P01
1,198,138,812,1,4,1,9,P01
1,199,92,317,1,7,1,9,P01
1,200,21,801,1,15,1,9,P01
1,201,250,601,1,8,1,9,P01
1,202,82,770,1,9,1,9,P01
1,203,249,329,1,5,1,9,P01
1,204,337,131,1,3,1,9,P01
1,205,135,348,1,5,1,9,P01
1,206,116,675,1,8,1,9,P01
1,207,148,765,1,4,1,9,P01
1,208,35,767,1,11,1,9,P01
1,209,55,369,1,13,1,9,P01
1,210,180,586,1,4,1,9,P01
1,211,50,500,1,4,1,9,P01
1,212,122,438,1,9,1,9,P01
