condition,session,b1,b2,r1,r2,schedule_r1,schedule_r2,PID
1,1,56,415,1,6,1,9,P08
1,2,51,540,1,5,1,9,P08
1,3,33,871,1,8,1,9,P08
1,4,71,363,1,10,1,9,P08
1,5,26,426,1,4,1,9,P08
1,6,33,838,1,13,1,9,P08
1,7,75,542,1,8,1,9,P08
1,8,47,523,1,9,1,9,P08
1,9,50,574,1,7,1,9,P08
1,10,53,818,1,4,1,9,P08
1,11,58,471,1,10,1,9,P08
1,12,67,658,1,10,1,9,P08
1,13,37,708,1,17,1,9,P08
1,14,75,485,1,12,1,9,P08
1,15,163,689,1,9,1,9,P08
1,16,21,494,1,10,1,9,P08
1,17,132,660,1,13,1,9,P08
1,18,112,862,1,10,1,9,P08
1,19,56,689,1,8,1,9,P08
1,20,49,539,1,5,1,9,P08
1,21,80,537,1,4,1,9,P08
1,22,92,632,1,8,1,9,P08
1,23,34,783,1,10,1,9,P08
1,24,89,500,1,7,1,9,P08
1,25,82,881,1,8,1,9,P08
1,26,114,520,1,10,1,9,P08
1,27,51,515,1,3,1,9,P08
1,28,208,647,1,7,1,9,P08
1,29,62,566,1,9,1,9,P08
1,30,119,688,1,10,1,9,P08
1,31,72,337,1,6,1,9,P08
1,32,115,389,1,13,1,9,P08
1,33,78,416,1,8,1,9,P08
1,34,142,486,1,11,1,9,P08
1,35,34,911,1,12,1,9,P08
1,36,87,778,1,6,1,9,P08
1,37,47,408,1,8,1,9,P08
1,38,145,640,1,8,1,9,P08
1,39,51,579,1,11,1,9,P08
1,40,60,659,1,4,1,9,P08
1,41,39,603,1,9,1,9,P08
1,42,37,662,1,10,1,9,P08
1,43,111,301,1,1,1,9,P08
1,44,24,794,1,10,1,9,P08
1,45,35,529,1,11,1,9,P08
1,46,51,387,1,9,1,9,P08
1,47,125,433,1,5,1,9,P08
1,48,90,592,1,7,1,9,P08
1,49,128,377,1,4,1,9,P08
1,50,113,632,1,6,1,9,P08
1,51,33,441,1,7,1,9,P08
1,52,19,541,1,5,1,9,P08
1,53,63,897,1,12,1,9,P08
1,54,47,616,1,5,1,9,P08
1,55,59,668,1,9,1,9,P08
1,56,72,657,1,9,1,9,P08
1,57,19,433,1,8,1,9,P08
1,58,164,472,1,9,1,9,P08
1,59,95,903,1,12,1,9,P08
1,60,14,756,1,10,1,9,P08
1,61,108,798,1,6,1,9,P08
1,62,26,871,1,8,1,9,P08
1,63,106,778,1,8,1,9,P08
1,64,77,459,1,9,1,9,P08
1,65,77,686,1,2,1,9,P08
1,66,118,555,1,9,1,9,P08
1,67,35,796,1,11,1,9,P08
1,68,53,917,1,4,1,9,P08
1,69,64,434,1,10,1,9,P08
1,70,128,466,1,6,1,9,P08
1,71,33,480,1,16,1,9,P08
1,72,57,373,1,5,1,9,P08
1,73,89,543,1,9,1,9,P08
1,74,35,848,1,9,1,9,P08
1,75,204,733,1,10,1,9,P08
1,76,69,633,1,6,1,9,P08
1,77,38,853,1,10,1,9,P08
1,78,131,504,1,7,1,9,P08
1,79,33,532,1,6,1,9,P08
1,80,181,528,1,3,1,9,P08
1,81,59,506,1,5,1,9,P08
1,82,60,892,1,9,1,9,P08
1,83,42,645,2,4,1,9,P08
1,84,47,511,1,9,1,9,P08
1,85,29,922,1,8,1,9,P08
1,86,16,397,1,10,1,9,P08
1,87,71,585,1,11,1,9,P08
1,88,47,863,1,5,1,9,P08
1,89,50,475,1,6,1,9,P08
1,90,14,760,1,8,1,9,P08
1,91,127,860,1,11,1,9,P08
1,92,59,829,1,13,1,9,P08
1,93,214,476,1,7,1,9,P08
