participant_id,price_0.01,price_0.05,price_0.25,price_1.00,price_5.00,price_10.00,price_33.00,price_100.00,price_250.00,price_500.00,price_1000.00,Q0,a
1,26.602135526634864,26.944271699073198,24.677903739879284,23.67207610537521,14.636682235273087,7.673998631971605,8.860183608668812,11.0618179767982,0.0,0.0,0.0,28.06080908119049,0.222391759621124
2,25.48649951920504,17.497575106775624,21.86244541665213,20.960643849011166,14.670700349821201,13.450010169069062,9.303047393817856,8.794390785034649,0.0,0.0,0.0,23.926192721333173,0.06562492226758083
3,80.99292076501628,91.01829207924915,75.98264636325406,72.41870108839869,47.87609414193569,32.72995020917697,34.682637759784484,34.609209329752154,0.0,0.0,0.0,92.78964421054194,0.24337655072061737
4,30.97868744556326,29.842976548085275,27.372602317697297,20.653808526827294,18.394334375801918,16.0332331913909,8.61359189687131,8.91491550589954,0.0,0.0,0.0,30.503220587708455,0.09714578458099643
5,82.73431253394801,76.67917952642142,80.21416253806419,80.85996614351271,39.4649992525966,36.24497430928096,30.43982568978291,33.248904254291766,0.0,0.0,0.0,91.36706468352884,0.21127396406424448
6,74.12336560687444,69.72775228993324,67.16194729955203,42.90491964884418,38.383077160107774,30.990412645909387,23.392637575766848,21.604257311608375,0.0,0.0,0.0,71.8181649477916,0.14139236850728823
7,86.47223576429265,59.25492767151457,68.62473876947165,54.03138698814382,41.672955753259814,28.322851629343358,26.644503595932946,24.539671085237625,0.0,0.0,0.0,81.08869222758648,0.20778281660561615
8,69.8151540331197,73.77589801046122,68.59489097859881,64.80517228796336,35.14597821941576,28.75684083683714,24.435813012600327,26.033456538749498,0.0,0.0,0.0,77.65103344133732,0.2260845832386189
9,71.99097617799828,75.12719290127515,74.3949174936779,78.17840985313258,44.499467339282546,36.882407814546575,31.96218355456136,30.625413486497074,0.0,0.0,0.0,84.76229571815716,0.12106126155063562
10,47.419557377054566,48.20335352515012,39.276533697882485,47.052518797981655,35.40428822119014,25.86683489000638,19.59671798572883,14.475633439499425,0.0,0.0,0.0,53.193362670596535,0.08708434278084645
11,71.61927748555196,73.50947808867211,64.73888201152269,47.652052359923644,38.81620298446375,29.014582331087457,24.104381061325626,28.135234105407385,0.0,0.0,0.0,79.65247863624523,0.1708633088574244
12,70.58008126350767,82.47372205027133,74.71709352247518,61.26078749284076,42.55423066825798,24.183126572390204,26.786601995921803,26.161077745843016,0.0,0.0,0.0,80.82649071928013,0.21073567258358022
13,89.13069912204034,80.67799415381633,62.442588269705546,54.79947496990407,34.92132455457907,26.192476921477795,27.575603203181874,25.75763671659619,0.0,0.0,0.0,85.550523415439,0.17290306457018562
14,82.36593300626792,96.33345992010814,93.52074343509696,77.85916092064741,61.01517848562438,38.399355630231675,31.227850588577322,32.57583480131491,0.0,0.0,0.0,97.76909348674567,0.13654420719665938
15,76.45929576604722,83.57718867183769,61.012106370760506,77.89488320173952,63.39894553612216,41.11835212918825,31.20546130263032,34.59210829550194,0.0,0.0,0.0,91.77335004566375,0.06842198207711732
16,68.88283324834869,91.6194823052006,83.72699378282815,74.09503435140927,49.957213462492746,31.18135384416686,30.959661110029458,30.7460709301673,0.0,0.0,0.0,90.67162348582856,0.14869513092660383
